TIMESTAMP,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
288221,7.35287,1.91697,2.37118,2.15629,1.88278,-2.20513,1.10134,-3.93407,
289400,7.35287,1.91209,2.37118,2.14164,1.88278,-2.17582,1.10134,-3.93407,
290579,7.35287,1.92674,2.37118,2.15629,1.88767,-2.1514,1.10134,-3.92918,
291759,7.35287,1.92186,2.37607,2.16117,1.88767,-2.2149,1.12576,-3.93895,
292937,7.35287,1.92674,2.37118,2.1514,1.88767,-2.15629,1.10134,-3.92918,
294119,7.35287,1.92674,2.37607,2.16117,1.88767,-2.21001,1.11111,-3.93407,
295311,7.35287,1.92674,2.37118,2.16117,1.88767,-2.25397,1.13065,-3.9243,
296491,7.35287,1.92674,2.37118,2.16117,1.88767,-2.22466,1.10623,-3.92918,
297667,7.35287,1.92674,2.37607,2.16117,1.89255,-2.18071,1.12576,-3.94383,
298847,7.35287,1.92186,2.37118,2.16117,1.88767,-2.24908,1.09646,-3.92918,
300027,7.35287,1.92674,2.37607,2.16117,1.89255,-2.21001,1.10134,-3.93407,
301206,7.35287,1.92186,2.37607,2.16606,1.89255,-2.23443,1.12576,-3.93895,
302394,7.35287,1.92674,2.37607,2.16606,1.89255,-2.28327,1.09646,-3.93895,
303570,7.35287,1.92186,2.37607,2.16606,1.89255,-2.2735,1.09646,-3.93895,
304746,7.35287,1.93162,2.37118,2.16606,1.89255,-2.22466,1.09646,-3.93895,
305925,7.35287,1.92186,2.37607,2.16606,1.89255,-2.26862,1.09646,-3.94383,
307105,7.35287,1.92674,2.37607,2.16606,1.89255,-2.28327,1.10134,-3.93895,
308285,7.35775,1.92674,2.37607,2.17094,1.89255,-2.29304,1.12576,-3.93407,
309463,7.35287,1.93651,2.37118,2.16117,1.89255,-2.29304,1.10623,-3.92918,
310645,7.35287,1.93162,2.37607,2.17094,1.89255,-2.27839,1.10134,-3.93407,
311820,7.35287,1.93651,2.37118,2.17094,1.89744,-2.29792,1.09646,-3.93895,
312999,7.35775,1.93162,2.37118,2.16117,1.89744,-2.28327,1.12088,-3.93895,
314183,7.35775,1.93162,2.37607,2.16606,1.89255,-2.30769,1.10623,-3.93407,
315363,7.35287,1.93651,2.37607,2.1514,1.88767,-2.32234,1.12576,-3.92918,
316540,7.35775,1.92186,2.37607,2.17094,1.89744,-2.31746,1.10134,-3.93895,
317718,7.35287,1.92186,2.37607,2.17094,1.89744,-2.30769,1.09646,-3.93407,
318895,7.35287,1.92674,2.37607,2.17582,1.89744,-2.30769,1.09646,-3.93407,
320074,7.35287,1.92674,2.37607,2.17582,1.90232,-2.31258,1.09646,-3.93895,
321253,7.35287,1.92674,2.37118,2.17582,1.90232,-2.35165,1.09646,-3.93895,
322433,7.35287,1.92674,2.37607,2.14164,1.89255,-2.36142,1.09646,-3.93895,
323616,7.35287,1.92674,2.37607,2.16117,1.89744,-2.34676,1.09646,-3.93407,
324792,7.35287,1.92674,2.37607,2.17582,1.90232,-2.34676,1.10134,-3.93895,
325968,7.35287,1.92186,2.37607,2.18071,1.9072,-2.32234,1.09646,-3.93895,
327150,7.35287,1.92674,2.37607,2.18071,1.9072,-2.37607,1.09158,-3.93895,
328326,7.35775,1.92186,2.37607,2.14164,1.90232,-2.40049,1.09646,-3.93407,
329502,7.35287,1.92674,2.37607,2.13187,1.86325,-2.37118,1.10134,-3.93895,
330682,7.35287,1.92674,2.37607,2.18071,1.89744,-2.34188,1.10134,-3.93895,
331883,7.35287,1.91697,2.37607,2.18559,1.9072,-2.35653,1.09646,-3.93895,
333066,7.35287,1.92186,2.37607,2.14164,1.89255,-2.36142,1.10134,-3.93895,
334245,7.35287,1.92186,2.37607,2.18071,1.9072,-2.41026,1.09646,-3.94383,
335421,7.35287,1.92186,2.37607,2.13675,1.86813,-2.41026,1.12088,-3.94383,
336605,7.35287,1.91697,2.37118,2.18559,1.9072,-2.37118,1.09158,-3.93407,
337784,7.35287,1.9072,2.37118,2.16606,1.90232,-2.38584,1.09158,-4.10012,
338965,7.34799,1.91697,2.37607,2.18559,1.91209,-2.37607,1.09158,-3.93895,
340144,7.34799,1.91697,2.37607,2.1514,1.9072,-2.42491,1.09158,-3.93895,
341322,7.34799,1.91697,2.37607,2.17582,1.9072,-2.43468,1.09158,-3.93407,
342506,7.34799,1.91209,2.37607,2.18559,1.91209,-2.41514,1.10134,-3.93895,
343682,7.34799,1.91697,2.37607,2.19048,1.91697,-2.3956,1.12576,-3.93407,
344860,7.34799,1.91697,2.37607,2.19048,1.91697,-2.3956,1.116,-3.93407,
346037,7.34799,1.91697,2.37607,2.19048,1.91697,-2.42491,1.12576,-3.93407,
347215,7.34799,1.9072,2.37607,2.13675,1.86813,-2.40537,1.10134,-3.94383,
348396,7.34799,1.91209,2.37607,2.14652,1.86813,-2.42491,1.09646,-3.93895,
349574,7.34799,1.9072,2.37607,2.19048,1.91209,-2.42002,1.10134,-4.10012,
350754,7.34799,1.91209,2.37607,2.19048,1.91697,-2.42979,1.09646,-3.93895,
