STEP1: 11V, no container, 7 container høj
TIME,ANGLE1,ANGLE2,XPOS,YPOS,XTACHO,YTACHO,XVOLT,YVOLT
284925,8.148962,2.253968,2.830281,6.644689,-4.078370,0.119658,10.941015,1.117835,
286086,8.148962,2.258852,2.830281,6.644689,-4.093022,0.119658,10.960238,1.435022,
287240,8.148962,2.258852,2.830281,6.644689,-4.058834,0.119658,10.941015,1.435022,
288393,8.148962,2.263736,2.830281,6.649573,-4.068602,0.119658,10.912179,1.483081,
289574,8.148962,2.263736,2.835165,6.649573,-4.093022,0.119658,11.027520,1.444634,
290730,8.148962,2.263736,2.835165,6.649573,-4.102790,0.119658,10.960238,1.435022,
291883,8.148962,2.263736,2.835165,6.649573,-4.083254,0.119658,10.969850,1.435022,
293036,8.148962,2.263736,2.835165,6.649573,-4.136978,0.119658,10.979462,1.435022,
294190,8.148962,2.268620,2.835165,6.649573,-4.136978,0.119658,10.969850,1.435022,
295348,8.148962,2.268620,2.840049,6.649573,-4.151630,0.119658,10.950626,1.435022,
296502,8.148962,2.268620,2.840049,6.649573,-4.171166,0.119658,10.960238,1.435022,
297655,8.148962,2.268620,2.840049,6.649573,-4.176050,0.119658,11.008297,1.454245,
298810,8.148962,2.273504,2.840049,6.649573,-4.151630,0.119658,10.941015,1.425410,
299968,8.148962,2.273504,2.840049,6.649573,-4.195586,0.119658,10.950626,1.435022,
301123,8.148962,2.278388,2.844933,6.654457,-4.190702,0.119658,10.950626,1.435022,
302283,8.148962,2.278388,2.844933,6.649573,-4.176050,0.119658,10.989073,1.435022,
303441,8.148962,2.278388,2.844933,6.649573,-4.190702,0.119658,10.960238,1.435022,
304594,8.144078,2.278388,2.844933,6.654457,-4.249310,0.119658,10.960238,1.127447,
305751,8.144078,2.283272,2.849817,6.654457,-4.234658,0.119658,10.941015,1.425410,
306903,8.144078,2.283272,2.849817,6.654457,-4.239542,0.119658,11.296648,1.454245,
308060,8.144078,2.283272,2.849817,6.654457,-4.259078,0.119658,10.969850,1.435022,
309218,8.144078,2.283272,2.849817,6.654457,-4.298150,0.119658,10.969850,1.435022,
310370,8.148962,2.283272,2.854701,6.654457,-4.263962,0.119658,10.969850,1.117835,
311529,8.148962,2.288156,2.854701,6.654457,-4.317686,0.119658,10.941015,1.435022,
312685,8.144078,2.288156,2.854701,6.659341,-4.327454,0.119658,11.267813,1.444634,
313846,8.144078,2.288156,2.854701,6.659341,-4.298150,0.119658,10.941015,1.117835,
315001,8.144078,2.288156,2.854701,6.659341,-4.298150,0.119658,10.969850,0.281615,
316181,8.144078,2.288156,2.859585,6.659341,-4.268846,0.119658,10.950626,1.435022,
317335,8.144078,2.293040,2.859585,6.659341,-4.268846,0.119658,10.989073,1.435022,
318493,8.144078,2.293040,2.859585,6.659341,-4.307918,0.119658,10.960238,1.435022,
319651,8.144078,2.293040,2.859585,6.659341,-4.376294,0.119658,10.998685,1.444634,
320806,8.144078,2.293040,2.859585,6.659341,-4.371410,0.119658,10.989073,1.435022,
321963,8.144078,2.293040,2.864469,6.659341,-4.390946,0.119658,10.921791,1.425410,
323120,8.144078,2.293040,2.864469,6.659341,-4.459322,0.119658,10.960238,1.435022,
324278,8.144078,2.297924,2.864469,6.659341,-4.430018,0.119658,10.960238,1.444634,
325430,8.144078,2.297924,2.864469,6.659341,-4.425134,0.119658,10.969850,1.435022,
326587,8.144078,2.297924,2.869353,6.664225,-4.386062,0.119658,10.960238,1.435022,
327741,8.144078,2.297924,2.869353,6.664225,-4.371410,0.119658,11.017908,1.444634,
328893,8.144078,2.297924,2.869353,6.664225,-4.332338,0.119658,10.921791,1.425410,
330046,8.144078,2.297924,2.869353,6.664225,-4.376294,0.119658,10.998685,1.444634,
331201,8.144078,2.297924,2.874237,6.664225,-4.405598,0.119658,10.969850,1.435022,
332356,8.144078,2.302808,2.874237,6.664225,-4.434902,0.119658,11.248590,1.444634,
333515,8.144078,2.297924,2.874237,6.664225,-4.522814,0.119658,10.960238,1.117835,
